Opportunity Number,Supplies Group,Supplies Subgroup,Region,Route To Market,Elapsed Days In Sales Stage,Opportunity Result,Sales Stage Change Count,Total Days Identified Through Closing,Total Days Identified Through Qualified,Opportunity Amount USD,Client Size By Revenue (USD),Client Size By Employee Count,Revenue From Client Past Two Years (USD),Competitor Type,Ratio Days Identified To Total Days,Ratio Days Validated To Total Days,Ratio Days Qualified To Total Days,Deal Size Category (USD)
5743311,Car Accessories,Replacement Parts,Northeast,Reseller,89,Loss,5,46,46,40000,More than 1M,1K to 5K,0 (No business),Unknown,0.0,0.598684,0.401316,20K to 30K
5799657,Car Accessories,Interior Accessories,Pacific,Fields Sales,83,Loss,3,49,49,250000,500K to 1M,1K or less,0 (No business),Unknown,0.556911,0.443089,0.0,50K to 60K
5799657,Car Accessories,Batteries & Accessories,Pacific,Fields Sales,83,Loss,3,49,49,350000,500K to 1M,1K or less,0 (No business),Unknown,0.556911,0.443089,0.0,50K to 60K
5822310,Car Accessories,Batteries & Accessories,Southwest,Fields Sales,90,Loss,5,42,42,150000,100K or less,1K or less,0 (No business),Unknown,0.940191,0.043062,0.016746,40K to 50K
5822310,Performance & Non-auto,Performance Parts,Southwest,Fields Sales,90,Loss,5,42,42,200000,100K or less,1K or less,0 (No business),Unknown,0.940191,0.043062,0.016746,40K to 50K
5839656,Car Accessories,Towing & Hitches,Northeast,Reseller,79,Loss,5,52,52,40000,250K to 500K,1K to 5K,0 (No business),Unknown,0.023301,0.0,0.976699,20K to 30K
5839656,Car Accessories,Exterior Accessories,Northeast,Reseller,79,Loss,5,52,52,150000,250K to 500K,1K to 5K,0 (No business),Unknown,0.023301,0.0,0.976699,40K to 50K
5872991,Car Accessories,Garage & Car Care,Mid-Atlantic,Reseller,23,Won,3,21,21,35000,250K to 500K,5K to 15K,0 (No business),Unknown,0.0,1.0,0.0,20K to 30K
5872991,Car Accessories,Garage & Car Care,Mid-Atlantic,Reseller,23,Won,3,21,21,10000,250K to 500K,5K to 15K,0 (No business),Unknown,0.0,1.0,0.0,10K to 20K
5885433,Car Accessories,Garage & Car Care,Northeast,Reseller,78,Loss,4,50,50,210000,100K or less,1K or less,0 (No business),Unknown,0.0,1.0,0.0,40K to 50K
5885433,Car Accessories,Batteries & Accessories,Northeast,Reseller,78,Loss,4,50,50,0,100K or less,1K or less,0 (No business),Unknown,0.0,1.0,0.0,10K or less
5929750,Car Accessories,Replacement Parts,Southeast,Fields Sales,91,Loss,3,35,35,117000,100K to 250K,1K to 5K,0 (No business),Unknown,0.0,0.060172,0.939828,40K to 50K
5929750,Car Accessories,Exterior Accessories,Southeast,Fields Sales,91,Loss,3,35,35,106000,100K to 250K,1K to 5K,0 (No business),Unknown,0.0,0.060172,0.939828,40K to 50K
5934206,Car Accessories,Garage & Car Care,Pacific,Fields Sales,89,Loss,4,37,37,25000,100K or less,1K or less,0 (No business),Unknown,0.597297,0.402703,0.0,20K to 30K
5934206,Car Accessories,Batteries & Accessories,Pacific,Fields Sales,89,Loss,4,37,37,26000,100K or less,1K or less,0 (No business),Unknown,0.597297,0.402703,0.0,20K to 30K
5943944,Car Accessories,Batteries & Accessories,Midwest,Fields Sales,86,Loss,4,40,40,30000,100K or less,5K to 15K,0 (No business),Known,0.02,0.235,0.745,20K to 30K
5943944,Car Accessories,Batteries & Accessories,Midwest,Fields Sales,86,Loss,4,40,40,5000,100K or less,5K to 15K,0 (No business),Known,0.02,0.235,0.745,10K or less
5984513,Car Accessories,Batteries & Accessories,Northeast,Fields Sales,89,Loss,2,35,35,0,More than 1M,1K or less,0 (No business),Unknown,0.0,1.0,0.0,10K or less
5984513,Car Accessories,Batteries & Accessories,Northeast,Fields Sales,89,Loss,2,35,35,50000,More than 1M,1K or less,0 (No business),Unknown,0.0,1.0,0.0,30K to 40K
5984525,Car Accessories,Batteries & Accessories,Northeast,Fields Sales,89,Loss,2,35,35,35000,100K or less,1K or less,0 (No business),Unknown,0.0,0.0,1.0,20K to 30K
5984525,Car Accessories,Batteries & Accessories,Northeast,Fields Sales,89,Loss,2,35,35,25000,100K or less,1K or less,0 (No business),Unknown,0.0,0.0,1.0,20K to 30K
5984533,Car Accessories,Batteries & Accessories,Pacific,Fields Sales,46,Won,4,12,12,479641,500K to 1M,More than 25K,0 (No business),Unknown,0.0,0.0,0.991803,50K to 60K
5984533,Car Accessories,Batteries & Accessories,Pacific,Fields Sales,46,Won,4,12,12,0,500K to 1M,More than 25K,0 (No business),Unknown,0.0,0.0,0.991803,10K or less
5989005,Car Accessories,Batteries & Accessories,Midwest,Reseller,64,Loss,7,40,40,22000,100K to 250K,15K to 25K,0 (No business),Unknown,0.5425,0.4575,0.0,10K to 20K
5989005,Car Accessories,Interior Accessories,Midwest,Reseller,64,Loss,7,40,40,50000,100K to 250K,15K to 25K,0 (No business),Unknown,0.5425,0.4575,0.0,30K to 40K
6003266,Car Electronics,Car Electronics,Midwest,Reseller,89,Loss,2,34,34,78100,100K or less,1K or less,0 (No business),Unknown,0.0,1.0,0.0,30K to 40K
6003266,Car Accessories,Garage & Car Care,Midwest,Reseller,89,Loss,2,34,34,4000,100K or less,1K or less,0 (No business),Unknown,0.0,1.0,0.0,10K or less
6034864,Car Accessories,Garage & Car Care,Northwest,Fields Sales,91,Loss,3,32,32,50000,More than 1M,1K to 5K,0 (No business),Unknown,0.802508,0.197492,0.0,30K to 40K
6034864,Car Accessories,Garage & Car Care,Northwest,Fields Sales,91,Loss,3,32,32,40000,More than 1M,1K to 5K,0 (No business),Unknown,0.802508,0.197492,0.0,20K to 30K
6055026,Performance & Non-auto,Motorcycle Parts,Midwest,Reseller,28,Loss,13,44,30,0,100K or less,1K to 5K,0 (No business),Unknown,0.034483,0.151724,0.503448,10K or less
6055026,Performance & Non-auto,Motorcycle Parts,Midwest,Reseller,28,Loss,13,44,30,64500,100K or less,1K to 5K,0 (No business),Unknown,0.034483,0.151724,0.503448,30K to 40K
6084951,Car Accessories,Garage & Car Care,Southeast,Reseller,54,Loss,7,65,65,3500,250K to 500K,5K to 15K,0 (No business),Unknown,0.582181,0.351767,0.066052,10K or less
6084951,Car Accessories,Garage & Car Care,Southeast,Reseller,54,Loss,7,65,65,50000,250K to 500K,5K to 15K,0 (No business),Unknown,0.582181,0.351767,0.066052,30K to 40K
6092009,Car Accessories,Replacement Parts,Pacific,Fields Sales,90,Won,5,29,29,301500,100K or less,1K or less,"More than 100,000",Known,0.682927,0.020906,0.296167,50K to 60K
6092009,Car Accessories,Batteries & Accessories,Pacific,Fields Sales,90,Won,5,29,29,42000,100K or less,1K or less,"More than 100,000",Known,0.682927,0.020906,0.296167,20K to 30K
6141506,Car Accessories,Towing & Hitches,Northwest,Fields Sales,73,Loss,3,45,45,200000,More than 1M,1K or less,0 (No business),Unknown,0.352423,0.647577,0.0,40K to 50K
6141506,Car Accessories,Towing & Hitches,Northwest,Fields Sales,73,Loss,3,45,45,70000,More than 1M,1K or less,0 (No business),Unknown,0.352423,0.647577,0.0,30K to 40K
6165786,Car Accessories,Towing & Hitches,Northwest,Fields Sales,38,Loss,4,80,80,300000,More than 1M,1K or less,0 (No business),Unknown,0.189698,0.415829,0.394472,50K to 60K
6165786,Car Accessories,Towing & Hitches,Northwest,Fields Sales,38,Loss,4,80,80,500000,More than 1M,1K or less,0 (No business),Unknown,0.189698,0.415829,0.394472,More than 60K
6221010,Car Accessories,Batteries & Accessories,Southeast,Fields Sales,88,Loss,9,26,20,166000,100K to 250K,1K or less,"50,000 - 100,000",Known,0.0,0.557692,0.226923,40K to 50K
6221010,Car Accessories,Exterior Accessories,Southeast,Fields Sales,88,Loss,9,26,20,800000,100K to 250K,1K or less,"50,000 - 100,000",Known,0.0,0.557692,0.226923,More than 60K
6266750,Car Accessories,Replacement Parts,Northeast,Fields Sales,78,Loss,7,26,26,316941,100K or less,1K or less,0 (No business),Unknown,0.0,0.708171,0.291829,50K to 60K
6266750,Car Accessories,Replacement Parts,Northeast,Fields Sales,78,Loss,7,26,26,225576,100K or less,1K or less,0 (No business),Unknown,0.0,0.708171,0.291829,40K to 50K
6321928,Car Accessories,Replacement Parts,Pacific,Fields Sales,111,Won,1,0,0,8140,100K or less,1K or less,0 (No business),,0.0,0.0,0.0,10K or less
6321928,Car Accessories,Replacement Parts,Pacific,Fields Sales,111,Won,1,0,0,8187,100K or less,1K or less,0 (No business),,0.0,0.0,0.0,10K or less
6335215,Performance & Non-auto,Motorcycle Parts,Southeast,Fields Sales,90,Loss,4,19,18,0,100K or less,1K or less,0 (No business),,0.0,0.0,0.927835,10K or less
6335215,Performance & Non-auto,Shelters & RV,Southeast,Fields Sales,90,Loss,4,19,18,0,100K or less,1K or less,0 (No business),,0.0,0.0,0.927835,10K or less
6360969,Car Accessories,Batteries & Accessories,Pacific,Fields Sales,89,Loss,2,20,20,30000,100K or less,1K or less,0 (No business),Unknown,0.0,1.0,0.0,20K to 30K
6360969,Car Accessories,Garage & Car Care,Pacific,Fields Sales,89,Loss,2,20,20,280000,100K or less,1K or less,0 (No business),Unknown,0.0,1.0,0.0,50K to 60K
6384089,Car Accessories,Replacement Parts,Pacific,Fields Sales,90,Loss,4,0,0,0,More than 1M,15K to 25K,0 (No business),,0.0,0.0,0.0,10K or less
6384089,Car Accessories,Towing & Hitches,Pacific,Fields Sales,90,Loss,4,0,0,0,More than 1M,15K to 25K,0 (No business),,0.0,0.0,0.0,10K or less
6422720,Car Accessories,Replacement Parts,Southwest,Reseller,74,Loss,4,33,25,9000,100K to 250K,15K to 25K,0 (No business),Unknown,0.0,0.00303,0.766667,10K or less
6422720,Car Accessories,Replacement Parts,Southwest,Reseller,74,Loss,4,33,25,0,100K to 250K,15K to 25K,0 (No business),Unknown,0.0,0.00303,0.766667,10K or less
6447908,Car Accessories,Exterior Accessories,Pacific,Fields Sales,89,Loss,2,17,17,0,100K or less,More than 25K,0 (No business),,0.0,1.0,0.0,10K or less
6447908,Car Accessories,Exterior Accessories,Pacific,Fields Sales,89,Loss,2,17,17,100000,100K or less,More than 25K,0 (No business),,0.0,1.0,0.0,40K to 50K
6495559,Car Accessories,Batteries & Accessories,Pacific,Fields Sales,89,Loss,2,14,14,50000,100K or less,1K or less,0 (No business),Unknown,0.0,1.0,0.0,30K to 40K
6495559,Performance & Non-auto,Shelters & RV,Pacific,Fields Sales,89,Loss,2,14,14,250000,100K or less,1K or less,0 (No business),Unknown,0.0,1.0,0.0,50K to 60K
6498008,Car Accessories,Exterior Accessories,Southeast,Fields Sales,34,Loss,5,66,66,120000,More than 1M,1K or less,0 (No business),Known,0.0,0.550681,0.449319,40K to 50K
6498008,Car Accessories,Exterior Accessories,Southeast,Fields Sales,34,Loss,5,66,66,0,More than 1M,1K or less,0 (No business),Known,0.0,0.550681,0.449319,10K or less
6504421,Car Accessories,Exterior Accessories,Northeast,Fields Sales,50,Loss,8,53,53,8000,More than 1M,More than 25K,0 (No business),Unknown,0.181648,0.522472,0.29588,10K or less
6504421,Car Accessories,Interior Accessories,Northeast,Fields Sales,50,Loss,8,53,53,434000,More than 1M,More than 25K,0 (No business),Unknown,0.181648,0.522472,0.29588,50K to 60K
6545510,Performance & Non-auto,Shelters & RV,Northeast,Fields Sales,83,Loss,4,19,19,305000,500K to 1M,1K or less,0 (No business),,0.0,0.193717,0.806283,50K to 60K
6545510,Car Accessories,Interior Accessories,Northeast,Fields Sales,83,Loss,4,19,19,80000,500K to 1M,1K or less,0 (No business),,0.0,0.193717,0.806283,30K to 40K
6584418,Performance & Non-auto,Motorcycle Parts,Midwest,Fields Sales,68,Loss,3,32,32,40000,More than 1M,1K or less,0 (No business),Unknown,0.453704,0.546296,0.0,20K to 30K
6584418,Tires & Wheels,Tires & Wheels,Midwest,Fields Sales,68,Loss,3,32,32,60000,More than 1M,1K or less,0 (No business),Unknown,0.453704,0.546296,0.0,30K to 40K
6600541,Car Accessories,Exterior Accessories,Mid-Atlantic,Reseller,93,Won,2,6,6,5000,100K or less,1K or less,0 (No business),Unknown,0.0,1.0,0.0,10K or less
6600541,Car Accessories,Exterior Accessories,Mid-Atlantic,Reseller,93,Won,2,6,6,8600,100K or less,1K or less,0 (No business),Unknown,0.0,1.0,0.0,10K or less
6604360,Car Accessories,Exterior Accessories,Mid-Atlantic,Reseller,65,Loss,2,35,35,8000,100K or less,1K or less,0 (No business),Unknown,0.0,1.0,0.0,10K or less
6604360,Car Accessories,Towing & Hitches,Mid-Atlantic,Reseller,65,Loss,2,35,35,22000,100K or less,1K or less,0 (No business),Unknown,0.0,1.0,0.0,10K to 20K
6653518,Car Accessories,Exterior Accessories,Southeast,Reseller,82,Won,7,3,3,0,250K to 500K,5K to 15K,0 (No business),Unknown,0.038462,0.730769,0.230769,10K or less
6653518,Performance & Non-auto,Motorcycle Parts,Southeast,Reseller,82,Won,7,3,3,10000,250K to 500K,5K to 15K,0 (No business),Unknown,0.038462,0.730769,0.230769,10K to 20K
6693964,Car Accessories,Exterior Accessories,Mid-Atlantic,Reseller,65,Loss,2,31,31,10000,100K or less,1K or less,0 (No business),Unknown,0.0,1.0,0.0,10K to 20K
6693964,Car Accessories,Exterior Accessories,Mid-Atlantic,Reseller,65,Loss,2,31,31,20000,100K or less,1K or less,0 (No business),Unknown,0.0,1.0,0.0,10K to 20K
6696753,Performance & Non-auto,Motorcycle Parts,Mid-Atlantic,Fields Sales,45,Won,5,14,10,59000,250K to 500K,More than 25K,0 (No business),,0.0,0.733333,0.0,30K to 40K
6696753,Performance & Non-auto,Motorcycle Parts,Mid-Atlantic,Fields Sales,45,Won,5,14,10,0,250K to 500K,More than 25K,0 (No business),,0.0,0.733333,0.0,10K or less
6708822,Performance & Non-auto,Motorcycle Parts,Pacific,Fields Sales,79,Loss,3,16,16,5000,100K or less,1K or less,0 (No business),Unknown,0.0,0.69375,0.30625,10K or less
6708822,Performance & Non-auto,Motorcycle Parts,Pacific,Fields Sales,79,Loss,3,16,16,100,100K or less,1K or less,0 (No business),Unknown,0.0,0.69375,0.30625,10K or less
6725791,Performance & Non-auto,Motorcycle Parts,Midwest,Fields Sales,71,Loss,5,24,24,100000,500K to 1M,More than 25K,0 (No business),Unknown,0.0,0.53617,0.46383,40K to 50K
6725791,Performance & Non-auto,Motorcycle Parts,Midwest,Fields Sales,71,Loss,5,24,24,80000,500K to 1M,More than 25K,0 (No business),Unknown,0.0,0.53617,0.46383,30K to 40K
6759661,Car Accessories,Exterior Accessories,Southeast,Reseller,53,Loss,4,38,38,1500,100K or less,15K to 25K,0 (No business),,0.0,0.0,1.0,10K or less
6759661,Car Accessories,Exterior Accessories,Southeast,Reseller,53,Loss,4,38,38,3500,100K or less,15K to 25K,0 (No business),,0.0,0.0,1.0,10K or less
6782620,Car Accessories,Batteries & Accessories,Midwest,Fields Sales,55,Loss,4,38,38,105530,100K or less,1K or less,0 (No business),Unknown,0.119048,0.074074,0.806878,40K to 50K
6782620,Car Accessories,Batteries & Accessories,Midwest,Fields Sales,55,Loss,4,38,38,110208,100K or less,1K or less,0 (No business),Unknown,0.119048,0.074074,0.806878,40K to 50K
6813515,Car Accessories,Interior Accessories,Northwest,Reseller,86,Won,4,4,0,155000,100K or less,1K or less,"50,000 - 100,000",Unknown,0.0,0.022727,0.0,40K to 50K
6813515,Car Accessories,Interior Accessories,Northwest,Reseller,86,Won,4,4,0,0,100K or less,1K or less,"50,000 - 100,000",Unknown,0.0,0.022727,0.0,10K or less
6825049,Performance & Non-auto,Shelters & RV,Mid-Atlantic,Fields Sales,89,Loss,4,0,0,415000,100K or less,1K or less,0 (No business),Unknown,0.5,0.0,0.5,50K to 60K
6825049,Performance & Non-auto,Shelters & RV,Mid-Atlantic,Fields Sales,89,Loss,4,0,0,85000,100K or less,1K or less,0 (No business),Unknown,0.5,0.0,0.5,30K to 40K
6831434,Car Accessories,Replacement Parts,Pacific,Fields Sales,90,Won,1,0,0,240060,100K or less,1K or less,0 (No business),Unknown,0.0,0.0,0.0,40K to 50K
6831434,Car Accessories,Replacement Parts,Pacific,Fields Sales,90,Won,1,0,0,240963,100K or less,1K or less,0 (No business),Unknown,0.0,0.0,0.0,40K to 50K
6835459,Car Accessories,Replacement Parts,Pacific,Fields Sales,90,Won,1,0,0,56073,100K or less,1K or less,0 (No business),Unknown,0.0,0.0,0.0,30K to 40K
6835459,Car Accessories,Replacement Parts,Pacific,Fields Sales,90,Won,1,0,0,41964,100K or less,1K or less,0 (No business),Unknown,0.0,0.0,0.0,20K to 30K
6835459,Car Accessories,Replacement Parts,Pacific,Fields Sales,90,Won,1,0,0,9281,100K or less,1K or less,0 (No business),Unknown,0.0,0.0,0.0,10K or less
6851136,Car Accessories,Exterior Accessories,Mid-Atlantic,Reseller,63,Loss,2,26,26,10000,500K to 1M,5K to 15K,0 (No business),Unknown,0.0,1.0,0.0,10K to 20K
6851136,Car Accessories,Exterior Accessories,Mid-Atlantic,Reseller,63,Loss,2,26,26,20000,500K to 1M,5K to 15K,0 (No business),Unknown,0.0,1.0,0.0,10K to 20K
6862185,Car Accessories,Garage & Car Care,Northwest,Reseller,74,Won,5,6,2,105000,100K or less,1K or less,0 (No business),Unknown,0.0,0.017544,0.333333,40K to 50K
6862185,Car Accessories,Garage & Car Care,Northwest,Reseller,74,Won,5,6,2,0,100K or less,1K or less,0 (No business),Unknown,0.0,0.017544,0.333333,10K or less
6875233,Car Accessories,Exterior Accessories,Midwest,Fields Sales,82,Loss,2,6,6,343558,250K to 500K,1K or less,0 (No business),Known,1.0,0.0,0.0,50K to 60K
6875233,Car Accessories,Exterior Accessories,Midwest,Fields Sales,82,Loss,2,6,6,6134,250K to 500K,1K or less,0 (No business),Known,1.0,0.0,0.0,10K or less
6887783,Car Electronics,Car Electronics,Northwest,Fields Sales,83,Won,3,5,5,9692,100K or less,1K or less,0 (No business),Unknown,0.0,0.843137,0.156863,10K or less
6887783,Car Accessories,Exterior Accessories,Northwest,Fields Sales,83,Won,3,5,5,19078,100K or less,1K or less,0 (No business),Unknown,0.0,0.843137,0.156863,10K to 20K
6927696,Car Accessories,Garage & Car Care,Midwest,Reseller,7,Loss,5,53,53,10000,500K to 1M,15K to 25K,0 (No business),Unknown,0.0,1.0,0.0,10K to 20K
6927696,Car Accessories,Garage & Car Care,Midwest,Reseller,7,Loss,5,53,53,15000,500K to 1M,15K to 25K,0 (No business),Unknown,0.0,1.0,0.0,10K to 20K
6978331,Car Accessories,Replacement Parts,Southwest,Reseller,47,Loss,5,38,38,20000,100K or less,1K or less,0 (No business),Unknown,0.066138,0.933862,0.0,10K to 20K
6978331,Car Accessories,Replacement Parts,Southwest,Reseller,47,Loss,5,38,38,0,100K or less,1K or less,0 (No business),Unknown,0.066138,0.933862,0.0,10K or less
7016652,Car Accessories,Exterior Accessories,Northeast,Fields Sales,64,Loss,2,19,19,2000,500K to 1M,More than 25K,0 (No business),Unknown,1.0,0.0,0.0,10K or less
7016652,Car Accessories,Interior Accessories,Northeast,Fields Sales,64,Loss,2,19,19,50000,500K to 1M,More than 25K,0 (No business),Unknown,1.0,0.0,0.0,30K to 40K
7028747,Car Accessories,Towing & Hitches,Southeast,Fields Sales,83,Loss,2,0,0,51000,100K or less,15K to 25K,0 (No business),Unknown,0.0,1.0,0.0,30K to 40K
7028747,Car Accessories,Towing & Hitches,Southeast,Fields Sales,83,Loss,2,0,0,150000,100K or less,15K to 25K,0 (No business),Unknown,0.0,1.0,0.0,40K to 50K
7054914,Performance & Non-auto,Performance Parts,Southeast,Reseller,80,Won,4,1,0,1919,250K to 500K,1K or less,0 (No business),Unknown,0.0,0.142857,0.0,10K or less
7054914,Performance & Non-auto,Performance Parts,Southeast,Reseller,80,Won,4,1,0,11200,250K to 500K,1K or less,0 (No business),Unknown,0.0,0.142857,0.0,10K to 20K
7081717,Car Accessories,Exterior Accessories,Mid-Atlantic,Fields Sales,55,Loss,9,11,10,60000,250K to 500K,1K to 5K,0 (No business),Known,0.230088,0.053097,0.628319,30K to 40K
7081717,Car Accessories,Batteries & Accessories,Mid-Atlantic,Fields Sales,55,Loss,9,11,10,0,250K to 500K,1K to 5K,0 (No business),Known,0.230088,0.053097,0.628319,10K or less
7120070,Car Accessories,Garage & Car Care,Midwest,Reseller,54,Loss,5,17,17,220000,500K to 1M,15K to 25K,0 (No business),Unknown,0.0,1.0,0.0,40K to 50K
7120070,Car Accessories,Garage & Car Care,Midwest,Reseller,54,Loss,5,17,17,20000,500K to 1M,15K to 25K,0 (No business),Unknown,0.0,1.0,0.0,10K to 20K
7129100,Car Accessories,Replacement Parts,Northeast,Reseller,45,Loss,3,34,0,8000,100K or less,1K to 5K,0 (No business),Unknown,0.0,0.002933,0.0,10K or less
7129100,Car Accessories,Replacement Parts,Northeast,Reseller,45,Loss,3,34,0,66000,100K or less,1K to 5K,0 (No business),Unknown,0.0,0.002933,0.0,30K to 40K
7144393,Performance & Non-auto,Shelters & RV,Southeast,Fields Sales,55,Loss,5,24,24,0,250K to 500K,More than 25K,0 (No business),Unknown,0.0,0.679325,0.320675,10K or less
7144393,Performance & Non-auto,Shelters & RV,Southeast,Fields Sales,55,Loss,5,24,24,300000,250K to 500K,More than 25K,0 (No business),Unknown,0.0,0.679325,0.320675,50K to 60K
7169763,Performance & Non-auto,Performance Parts,Southwest,Reseller,36,Loss,2,42,42,50000,More than 1M,1K or less,0 (No business),Unknown,0.0,1.0,0.0,30K to 40K
7169763,Car Accessories,Exterior Accessories,Southwest,Reseller,36,Loss,2,42,42,25000,More than 1M,1K or less,0 (No business),Unknown,0.0,1.0,0.0,20K to 30K
7239544,Performance & Non-auto,Motorcycle Parts,Southeast,Fields Sales,54,Won,3,1,0,12000,100K to 250K,1K or less,"25,000 - 50,000",Unknown,0.0,0.0,0.0,10K to 20K
7239544,Performance & Non-auto,Motorcycle Parts,Southeast,Fields Sales,54,Won,3,1,0,23000,100K to 250K,1K or less,"25,000 - 50,000",Unknown,0.0,0.0,0.0,10K to 20K
7239544,Performance & Non-auto,Motorcycle Parts,Southeast,Fields Sales,54,Won,3,1,0,14000,100K to 250K,1K or less,"25,000 - 50,000",Unknown,0.0,0.0,0.0,10K to 20K
7247062,Performance & Non-auto,Shelters & RV,Pacific,Fields Sales,57,Won,3,18,18,108510,100K to 250K,5K to 15K,"0 - 25,000",Known,0.0,0.683616,0.316384,40K to 50K
7247062,Performance & Non-auto,Shelters & RV,Pacific,Fields Sales,57,Won,3,18,18,426290,100K to 250K,5K to 15K,"0 - 25,000",Known,0.0,0.683616,0.316384,50K to 60K
7254786,Car Accessories,Interior Accessories,Southwest,Fields Sales,72,Loss,2,3,3,40000,100K or less,1K or less,0 (No business),Known,0.0,0.0,1.0,20K to 30K
7254786,Car Accessories,Interior Accessories,Southwest,Fields Sales,72,Loss,2,3,3,260000,100K or less,1K or less,0 (No business),Known,0.0,0.0,1.0,50K to 60K
7281765,Car Accessories,Batteries & Accessories,Pacific,Reseller,66,Won,4,8,5,45000,More than 1M,1K or less,0 (No business),Known,0.0,0.32,0.333333,20K to 30K
7281765,Car Accessories,Batteries & Accessories,Pacific,Reseller,66,Won,4,8,5,45000,More than 1M,1K or less,0 (No business),Known,0.0,0.32,0.333333,20K to 30K
7281765,Car Accessories,Batteries & Accessories,Pacific,Reseller,66,Won,4,8,5,60000,More than 1M,1K or less,0 (No business),Known,0.0,0.32,0.333333,30K to 40K
7281765,Car Accessories,Batteries & Accessories,Pacific,Reseller,66,Won,4,8,5,15000,More than 1M,1K or less,0 (No business),Known,0.0,0.32,0.333333,10K to 20K
7292688,Car Accessories,Interior Accessories,Southwest,Fields Sales,47,Loss,2,26,26,50000,100K or less,1K or less,0 (No business),Known,0.0,0.0,1.0,30K to 40K
7292688,Car Accessories,Interior Accessories,Southwest,Fields Sales,47,Loss,2,26,26,350000,100K or less,1K or less,0 (No business),Known,0.0,0.0,1.0,50K to 60K
7305882,Car Accessories,Replacement Parts,Southwest,Reseller,63,Loss,4,9,9,15000,100K or less,1K or less,0 (No business),Unknown,0.010638,0.989362,0.0,10K to 20K
7305882,Car Accessories,Batteries & Accessories,Southwest,Reseller,63,Loss,4,9,9,0,100K or less,1K or less,0 (No business),Unknown,0.010638,0.989362,0.0,10K or less
7312879,Car Accessories,Exterior Accessories,Midwest,Reseller,46,Won,2,27,27,14000,100K or less,1K or less,0 (No business),Unknown,0.0,1.0,0.0,10K to 20K
7312879,Car Accessories,Exterior Accessories,Midwest,Reseller,46,Won,2,27,27,20000,100K or less,1K or less,0 (No business),Unknown,0.0,1.0,0.0,10K to 20K
7316314,Performance & Non-auto,Shelters & RV,Mid-Atlantic,Reseller,16,Loss,4,56,56,30000,100K or less,1K or less,0 (No business),Unknown,0.0,0.344704,0.655296,20K to 30K
7316314,Performance & Non-auto,Shelters & RV,Mid-Atlantic,Reseller,16,Loss,4,56,56,0,100K or less,1K or less,0 (No business),Unknown,0.0,0.344704,0.655296,10K or less
7322354,Car Accessories,Interior Accessories,Southeast,Fields Sales,56,Loss,4,9,9,28000,More than 1M,More than 25K,0 (No business),Known,0.0,0.968085,0.031915,20K to 30K
7322354,Performance & Non-auto,Shelters & RV,Southeast,Fields Sales,56,Loss,4,9,9,400000,More than 1M,More than 25K,0 (No business),Known,0.0,0.968085,0.031915,50K to 60K
7343631,Performance & Non-auto,Motorcycle Parts,Northeast,Fields Sales,55,Won,3,16,16,239000,100K or less,1K or less,"More than 100,000",Known,0.0,0.852564,0.147436,40K to 50K
